Date Filename
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2013/mln201310q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2013/mln201311q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2013/mln201312q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2014/mln201401q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2014/mln201402q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2014/mln201403q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2014/mln201404q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2014/mln201405q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2014/mln201406q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2014/mln201407q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2014/mln201408q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2014/mln201409q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2014/mln201410q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2014/mln201411q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2014/mln201412q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2015/mln201501q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2015/mln201502q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2015/mln201503q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2015/mln201504q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2015/mln201505q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2015/mln201506q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2015/mln201507q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2015/mln201508q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2015/mln201509q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2015/mln201510q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2015/mln201511q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2015/mln201512q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2015/mln201501q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2015/mln201502q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2015/mln201503q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2016/mln201604q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2016/mln201605q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2016/mln201606q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2016/mln201607q3h.txt
2023/07/07 https://amrc.ssec.wisc.edu/data/ftp/pub/aws/q3h/2016/mln201608q3h.txt
